law_ref,description
"Article 21","Protection of life and personal liberty under the Constitution of India."
"Article 19","Protection of certain rights regarding freedom of speech, etc."
"Article 14","Equality before law and equal protection of the laws."
"Section 302","Punishment for murder under the Indian Penal Code."
"Section 376","Punishment for rape under the Indian Penal Code."
"Section 498A","Husband or relative of husband of a woman subjecting her to cruelty."
"IT Act Section 66A","Punishment for sending offensive messages through communication service."
"CrPC Section 208","Procedure defined under Criminal Procedure Code Section 208."
"CrPC Section 209","Procedure defined under Criminal Procedure Code Section 209."
"Article 20","Directive principle or fundamental right mentioned under Article 20 of the Constitution of India."
"Section 111","Defines punishment, penalty, or regulation under Indian Penal Code Section 111."
"CrPC Section 212","Procedure defined under Criminal Procedure Code Section 212."
"IT Act Section 57","Provision under Information Technology Act Section 57 dealing with cyber regulations and offences."
"CrPC Section 214","Procedure defined under Criminal Procedure Code Section 214."
"Article 25","Directive principle or fundamental right mentioned under Article 25 of the Constitution of India."
"CrPC Section 216","Procedure defined under Criminal Procedure Code Section 216."
"Section 117","Defines punishment, penalty, or regulation under Indian Penal Code Section 117."
"CrPC Section 218","Procedure defined under Criminal Procedure Code Section 218."
"CrPC Section 219","Procedure defined under Criminal Procedure Code Section 219."
"Article 30","Directive principle or fundamental right mentioned under Article 30 of the Constitution of India."
"Section 121","Defines punishment, penalty, or regulation under Indian Penal Code Section 121."
"IT Act Section 70","Provision under Information Technology Act Section 70 dealing with cyber regulations and offences."
"CrPC Section 222","Procedure defined under Criminal Procedure Code Section 222."
"CrPC Section 223","Procedure defined under Criminal Procedure Code Section 223."
"Article 35","Directive principle or fundamental right mentioned under Article 35 of the Constitution of India."
"CrPC Section 225","Procedure defined under Criminal Procedure Code Section 225."
"Section 129","Defines punishment, penalty, or regulation under Indian Penal Code Section 129."
"CrPC Section 227","Procedure defined under Criminal Procedure Code Section 227."
"IT Act Section 78","Provision under Information Technology Act Section 78 dealing with cyber regulations and offences."
"CrPC Section 229","Procedure defined under Criminal Procedure Code Section 229."
"Article 40","Directive principle or fundamental right mentioned under Article 40 of the Constitution of India."
"Section 133","Defines punishment, penalty, or regulation under Indian Penal Code Section 133."
"CrPC Section 232","Procedure defined under Criminal Procedure Code Section 232."
"CrPC Section 233","Procedure defined under Criminal Procedure Code Section 233."
"Article 45","Directive principle or fundamental right mentioned under Article 45 of the Constitution of India."
"CrPC Section 235","Procedure defined under Criminal Procedure Code Section 235."
"IT Act Section 85","Provision under Information Technology Act Section 85 dealing with cyber regulations and offences."
"Section 139","Defines punishment, penalty, or regulation under Indian Penal Code Section 139."
"CrPC Section 238","Procedure defined under Criminal Procedure Code Section 238."
"Article 50","Directive principle or fundamental right mentioned under Article 50 of the Constitution of India."
"CrPC Section 240","Procedure defined under Criminal Procedure Code Section 240."
"CrPC Section 241","Procedure defined under Criminal Procedure Code Section 241."
"Section 143","Defines punishment, penalty, or regulation under Indian Penal Code Section 143."
"IT Act Section 92","Provision under Information Technology Act Section 92 dealing with cyber regulations and offences."
"CrPC Section 244","Procedure defined under Criminal Procedure Code Section 244."
"Article 55","Directive principle or fundamental right mentioned under Article 55 of the Constitution of India."
"Section 149","Defines punishment, penalty, or regulation under Indian Penal Code Section 149."
"CrPC Section 247","Procedure defined under Criminal Procedure Code Section 247."
"CrPC Section 248","Procedure defined under Criminal Procedure Code Section 248."
"Article 60","Directive principle or fundamental right mentioned under Article 60 of the Constitution of India."
"IT Act Section 99","Provision under Information Technology Act Section 99 dealing with cyber regulations and offences."
"CrPC Section 251","Procedure defined under Criminal Procedure Code Section 251."
"Section 157","Defines punishment, penalty, or regulation under Indian Penal Code Section 157."
"CrPC Section 253","Procedure defined under Criminal Procedure Code Section 253."
"Article 65","Directive principle or fundamental right mentioned under Article 65 of the Constitution of India."
"CrPC Section 255","Procedure defined under Criminal Procedure Code Section 255."
"IT Act Section 106","Provision under Information Technology Act Section 106 dealing with cyber regulations and offences."
"CrPC Section 257","Procedure defined under Criminal Procedure Code Section 257."
"Section 161","Defines punishment, penalty, or regulation under Indian Penal Code Section 161."
"Article 70","Directive principle or fundamental right mentioned under Article 70 of the Constitution of India."
"CrPC Section 260","Procedure defined under Criminal Procedure Code Section 260."
"CrPC Section 261","Procedure defined under Criminal Procedure Code Section 261."
"IT Act Section 113","Provision under Information Technology Act Section 113 dealing with cyber regulations and offences."
"Section 167","Defines punishment, penalty, or regulation under Indian Penal Code Section 167."
"CrPC Section 264","Procedure defined under Criminal Procedure Code Section 264."
"Article 75","Directive principle or fundamental right mentioned under Article 75 of the Constitution of India."
"CrPC Section 266","Procedure defined under Criminal Procedure Code Section 266."
"CrPC Section 267","Procedure defined under Criminal Procedure Code Section 267."
"Section 173","Defines punishment, penalty, or regulation under Indian Penal Code Section 173."
"IT Act Section 120","Provision under Information Technology Act Section 120 dealing with cyber regulations and offences."
"CrPC Section 270","Procedure defined under Criminal Procedure Code Section 270."
"Article 80","Directive principle or fundamental right mentioned under Article 80 of the Constitution of India."
"CrPC Section 272","Procedure defined under Criminal Procedure Code Section 272."
"CrPC Section 273","Procedure defined under Criminal Procedure Code Section 273."
"Section 179","Defines punishment, penalty, or regulation under Indian Penal Code Section 179."
"IT Act Section 127","Provision under Information Technology Act Section 127 dealing with cyber regulations and offences."
"CrPC Section 276","Procedure defined under Criminal Procedure Code Section 276."
"Article 85","Directive principle or fundamental right mentioned under Article 85 of the Constitution of India."
"CrPC Section 278","Procedure defined under Criminal Procedure Code Section 278."
"CrPC Section 279","Procedure defined under Criminal Procedure Code Section 279."
"Section 183","Defines punishment, penalty, or regulation under Indian Penal Code Section 183."
"CrPC Section 281","Procedure defined under Criminal Procedure Code Section 281."
"IT Act Section 134","Provision under Information Technology Act Section 134 dealing with cyber regulations and offences."
"Article 90","Directive principle or fundamental right mentioned under Article 90 of the Constitution of India."
"CrPC Section 284","Procedure defined under Criminal Procedure Code Section 284."
"Section 189","Defines punishment, penalty, or regulation under Indian Penal Code Section 189."
"CrPC Section 286","Procedure defined under Criminal Procedure Code Section 286."
"IT Act Section 141","Provision under Information Technology Act Section 141 dealing with cyber regulations and offences."
"CrPC Section 288","Procedure defined under Criminal Procedure Code Section 288."
"Article 95","Directive principle or fundamental right mentioned under Article 95 of the Constitution of India."
"Section 193","Defines punishment, penalty, or regulation under Indian Penal Code Section 193."
"CrPC Section 291","Procedure defined under Criminal Procedure Code Section 291."
"IT Act Section 148","Provision under Information Technology Act Section 148 dealing with cyber regulations and offences."
Article 100,"Directive principle or fundamental right mentioned under Article 100 of the Constitution of India."
Article 21,"Article 21 of the Constitution of India guarantees the protection of life and personal liberty. It ensures that no person shall be deprived of these rights except according to the procedure established by law."
Section 302 IPC,"Section 302 of the Indian Penal Code prescribes punishment for murder. It states that whoever commits murder shall be punished with death or imprisonment for life and shall also be liable to a fine."
CrPC Section 161,"Under Section 161 of the Code of Criminal Procedure, a police officer may examine orally any person supposed to be acquainted with the facts of a case during investigation. Statements so recorded can be used for limited purposes in court."
IT Act Section 66,"Section 66 of the Information Technology Act deals with computer-related offences such as hacking or unauthorized access. It prescribes imprisonment up to three years or a fine up to five lakh rupees, or both."
Evidence Act Section 24,"Section 24 of the Indian Evidence Act states that a confession caused by inducement, threat, or promise is inadmissible in court. This provision ensures that confessions are made voluntarily."
Contract Act Section 73,"Section 73 of the Indian Contract Act provides that when a contract is broken, the injured party is entitled to compensation for loss or damage that naturally arises from the breach."
Consumer Protection Act Section 2(1)(g),"This section defines 'deficiency' in service, meaning any fault, imperfection, or inadequacy in the quality or manner of performance required by law or contract."
Motor Vehicles Act Section 185,"Section 185 of the Motor Vehicles Act makes driving under the influence of alcohol or drugs a punishable offence. It prescribes imprisonment up to six months and/or fine for the first offence."
Article 19(1)(a),"This Article guarantees the fundamental right to freedom of speech and expression. It forms the cornerstone of democratic rights in India, though subject to reasonable restrictions."
CrPC Section 167,"Section 167 outlines the procedure when investigation cannot be completed within twenty-four hours. It empowers a magistrate to authorize police custody or judicial custody as per law."
